name,company
Abhay Gupta,"Cerebras"
Aleksandr Katrutsa,AIRI
Aleksandr Mikhalev,Skoltech
Alexander Demidovskij,Huawei
Alina Bazarova,Forschungszentrum Jülich
Anand Paul,Kyungpook National University
Ayoub Ajarra,INRIA
Chaosheng Dong,University of Pittsburgh
Colin Bellinger,NRC Canada
Daniel Bershatsky,Skoltech
Daria Cherniuk,Skoltech
David Dale,Meta AI
Divyang Doshi,North Carolina State University
Egor Sevriugov,Skoltech
Fnu Devvrit,University of Texas at Austin
Francisco Igual,Universidad Complutense de Madrid
Gavia Gray,"Cerebras"
Hector Kohler,INRIA
Hichem Sahbi,Sorbonne University
Hulya Seferoglu,University of Illinois at Chicago
Iurii Efimov,Samsung
Jan Ebert,Forschungszentrum Jülich GmbH
Jenya Chelishev,Samsung AI Center
Johannes Hagemann,Aleph Alpha
Junbo Li,"University of California, Santa Cruz"
Kaifeng Chen,Google
Konstantin Sobolev,Samsung Research
Konstantin Sozykin,Skoltech
Konstantinos Pitas,INRIA
Leandro Ariel Libutti,Universidad Nacional de La Plata
Lionel Eyraud-Dubois,INRIA
Lucas Thibaut Meyer,INRIA
Malik Urfa Gul,Kyungpook National University
Mathilde Jay,Université Grenoble Alpes
Nikita Kotelevskii,Skoltech
Nikita Sukhorukov,Skoltech
Nikolay Kozyrskiy,Skoltech
Oleksii Hrinchuk,MIPT
Olivier Beaumont,INRIA
Oscar Key,University College London
Peyman Gholami,University of Illinois at Chicago
Philippe Swartvagher,Bordeaux INP
Rakesh Sarma,Forschungszentrum Jülich
Rocco Sedona,University of Iceland
Roman Schutski,Skoltech
Ruslan Khaidurov,Skoltech
Sam Heshmati,Bosch Research North America
Sarin Eapen Chandy,Georgia Institute of Technology
Sean Moran,J.P. Morgan Chase
Sergio P. Perez,Graphcore
Shaochen Zhong,Rice University
Sharath Nittur Sridhar,Intel Labs
Shuai Xu,Case Western Reserve University
Sofya Dymchenko,INRIA
Stanislav Abukhovich,Skoltech
Stefan Kesselheim,Forschungszentrum Jülich
Sunny Sanyal,University of Texas at Austin
Suyu Ge,Meta
Theodore Aouad,CentraleSupelec
Thomas Delliaux,INRIA
Thomas Meunier,INRIA
Tommy Löfstedt,Umeå University
Tuan-Anh Nguyen,Université Grenoble Alpes
Valeriya Strizhkova,INRIA
Veronika Ivanova,Skoltech
Viktoriia A. Chekalina,Skoltech
Vladimir Chernyi,Skoltech
Vladislav Lialin,"University of Massachusetts, Lowell"
Vladislav Lukoshkin,Skoltech
Xinran Gu,"Tsinghua University"
Xunyi Zhao,INRIA
Yunan Zhang,"University of Illinois, Urbana Champaign"
Yunzhen Feng,New York University
Zeinab Abboud,"Polytechnique Montréal, Univ. de Montréal"
